"Shipment ID","Exporter ID","Exporter Name","Country of Origin","Destination Country","Product Type","Product Description","HS Code","Quantity","Export Date","Departure Port","Arrival Port","Shipping Modality","Carrier","Compliance Status","Linked Traceability Record IDs"
"S-1001","EX001","Iberian Orchard Exports","Spain","United States","Fruit","Fresh Apples","0808.10","1000 kg","2025-05-10","Valencia Port","Los Angeles","Ocean Freight","MSC","Compliant","TR-0001, TR-0002"
"S-1002","EX002","BellaCarota Organics","Italy","United States","Vegetable","Organic Carrots","0707.10","500 kg","2025-05-12","Port of Genoa","New York","Air Freight","Alitalia Cargo","Non-Compliant","TR-0003, TR-0012"
"S-1003","EX003","Le Bœuf Exquis","France","United States","Meat","Premium Beef Cuts","0202.10","300 kg","2025-05-15","Le Havre","Houston","Ocean Freight","CMA CGM","Compliant","TR-0004, TR-0013"
"S-1004","EX004","AlpenKäse Delights","Germany","United States","Dairy","Artisanal Cheese","0406.10","200 kg","2025-06-01","Hamburg","Chicago","Air Freight","Lufthansa Cargo","Compliant","TR-0005, TR-0014"
"S-1005","EX005","Nordic Salmon Select","Norway","United States","Seafood","Wild Caught Salmon","0303.20","400 kg","2025-06-05","Oslo","Seattle","Air Freight","Norwegian Air Shuttle Cargo","Non-Compliant","TR-0006, TR-0015"
"S-1006","EX006","Moroccan Sun Citrus","Morocco","United States","Fruit","Citrus Mix","0809.40","750 kg","2025-06-10","Casablanca","Miami","Ocean Freight","Maersk","Compliant","TR-0007"
"S-1007","EX007","Anatolian Harvest Organics","Turkey","United States","Vegetable","Organic Tomatoes","0702.00","600 kg","2025-06-15","Istanbul","Boston","Air Freight","Turkish Airlines Cargo","Compliant","TR-0008"
"S-1008","EX008","Frango Fino Brazil","Brazil","United States","Meat","Chicken Breasts","0207.14","800 kg","2025-06-20","Santos","New Orleans","Ocean Freight","Hapag-Lloyd","Non-Compliant","TR-0009"
"S-1009","EX009","Nile Artisan Breads","Egypt","United States","Bakery","Artisan Breads","1905.90","350 kg","2025-06-25","Alexandria","San Francisco","Air Freight","EgyptAir Cargo","Compliant","TR-0010"
"S-1010","EX010","Belgian Velvet Chocolates","Belgium","United States","Confectionery","Gourmet Chocolates","1806.90","250 kg","2025-07-01","Antwerp","Dallas","Air Freight","Belgian World Cargo","Compliant","TR-0011"