"Record ID","Exporter ID","Food Product","CTE Type","KDE Details","Timestamp","Compliance Flag","Temp (°C)","Humidity (%)","Location (Name & Coords)","Lot Number","Batch Number","Supplier ID","Comments"
"TR-0001","EX001","Apples","Production","Orchard Harvest; Quality: A","2025-05-01 08:00","Pass","20","55","Valencia Orchard (39.4702° N, 0.3768° W)","L-AP-001","B001","SUP-OR-001","Harvested under optimal conditions."
"TR-0002","EX001","Apples","Packaging","Packed in Crates; Weight: 10 kg/pack","2025-05-01 10:00","Pass","18","50","Iberian Packing Facility (39.4825° N, 0.3817° W)","L-AP-001","B001","SUP-OR-001","Packaging verified; seals intact."
"TR-0003","EX002","Carrots","Production","Field Harvest; Quality Score: 92","2025-05-03 09:00","Fail","22","60","Tuscany Farm (43.7711° N, 11.2486° E)","L-CR-002","B002","SUP-FA-002","Inconsistent size observed; batch details missing."
"TR-0004","EX003","Beef","Production","Initial Slaughter; Temp: 4°C; Quality: A","2025-05-05 07:30","Pass","4","40","Normandy Processing Plant (49.1829° N, 0.3700° W)","L-BF-003","B003","SUP-HP-003","All parameters within range."
"TR-0005","EX004","Cheese","Aging","Cheddar; Aged 60 days; pH: 5.2","2025-05-07 11:00","Pass","12","75","Bavarian Aging Facility (48.1351° N, 11.5820° E)","L-CH-004","B004","SUP-DA-004","Aging process on schedule."
"TR-0006","EX005","Salmon","Processing","Filleting completed; Avg. Weight: 500g","2025-05-09 12:00","Fail","2","80","Oslo Seafood Plant (59.9139° N, 10.7522° E)","L-SA-005","B005","SUP-SE-005","Temperature fluctuations detected."
"TR-0007","EX006","Citrus","Production","Hand-picked; Average size: Medium","2025-05-11 08:30","Pass","24","45","Marrakech Orchard (31.6295° N, 8.0083° W)","L-CT-006","B006","SUP-OR-006","Consistent quality observed."
"TR-0008","EX007","Tomatoes","Processing","Washed & Sorted; Quality Grade: A","2025-05-13 10:45","Pass","21","50","Istanbul Processing Center (41.0082° N, 28.9784° E)","L-TM-007","B007","SUP-AG-007","Standard processing completed."
"TR-0009","EX008","Chicken","Packaging","Vacuum Sealed; Weight: 1.2 kg/pack","2025-05-15 14:00","Fail","3","65","São Paulo Facility (23.5505° S, 46.6333° W)","L-CH-008","B008","SUP-CH-008","Seal integrity issues; re-check required."
"TR-0010","EX009","Breads","Production","Dough Mixed; Consistency: Optimal","2025-05-17 09:15","Pass","25","55","Cairo Bakery (30.0444° N, 31.2357° E)","L-BR-009","B009","SUP-BA-009","Process within control limits."
"TR-0011","EX010","Chocolates","Packaging","Boxed; Temp maintained; Seal verified","2025-05-19 16:20","Pass","18","40","Brussels Confectionery Center (50.8503° N, 4.3517° E)","L-CHOC-010","B010","SUP-CO-010","Packaging process successful."